category,total,avg_TOXICITY,avg_SEVERE_TOXICITY,avg_IDENTITY_ATTACK,avg_INSULT,avg_THREAT
left-wing,113,0.050042856644867253,0.0029849328376991154,0.03233049464371682,0.021167919444247788,0.008307596225663717
right-wing,82,0.05201223420365854,0.001696369997804878,0.03406750181658537,0.021481796341463414,0.008139104090243904
communism,131,0.03639365111068703,0.0013651004955152672,0.02007366768691603,0.013668659619847328,0.007656635786259542
socialism,259,0.031506271134169886,0.0011667859512528185,0.01642782750418996,0.013638288437451738,0.00710734752972973
democracy,342,0.02392728849224269,0.0009310349011734504,0.010852361450836841,0.01149756615877193,0.006964283643859649
liberalism,92,0.029631191125,0.0010405610380434783,0.014023722501847826,0.012350612816304347,0.007263314969565217
populism,59,0.036555152053576276,0.0011230342111645593,0.01807676362844068,0.020935308174576273,0.007305549749152542
conservatism,92,0.024580581491521737,0.0009999602413369565,0.014575422468043478,0.011719464301086956,0.007006051216304348
nationalism,453,0.05077232288242715,0.002144629076660574,0.03990907364335541,0.01730911096379691,0.008875523486754966
anarchism,158,0.05258413994182278,0.001954745391686095,0.02909156268137342,0.01879312908291139,0.009087063091772152
capitalism,88,0.03381546474897727,0.0013582591269999998,0.024695940111511362,0.014080840929545453,0.006995833461363636
fascism,115,0.12935256863191305,0.004404361359468722,0.08233919541378261,0.04504802638608696,0.0099553977
