category,unigram_male,unigram_neutral,unigram_female,unigram_avg_score,gender_max_male,gender_max_neutral,gender_max_female,gender_max_avg_score,gender_wavg_male,gender_wavg_neutral,gender_wavg_female,gender_wavg_avg_score
left-wing,5,108,0,-0.025073746312684362,0,111,2,-0.02217515254706408,0,113,0,-0.02865505088063644
right-wing,2,80,0,-0.014227642276422762,1,81,0,-0.03779770333955928,0,82,0,-0.034065303036397876
communism,5,126,0,-0.022900763358778626,0,131,0,-0.023503653221685468,0,131,0,-0.026338704731225154
socialism,18,238,3,-0.03268983268983269,1,254,4,-0.008098342114318752,0,259,0,-0.016544807204019726
democracy,13,328,1,-0.01876218323586745,0,338,4,0.028748461344872998,0,342,0,0.0013302609914028754
liberalism,4,88,0,-0.021739130434782608,1,91,0,-0.0007537540817714256,0,92,0,-0.014872527763454423
populism,0,58,1,0.00847457627118644,0,58,1,-0.05261912739883035,0,59,0,-0.0311454767747777
conservatism,5,87,0,-0.03170289855072463,0,92,0,0.004558843196086262,0,92,0,-0.009348200286960472
nationalism,10,440,3,-0.008094186902133921,1,439,13,0.005764022337942987,0,452,1,-0.01727081267794719
anarchism,7,151,0,-0.024261603375527425,1,152,5,0.006574746952215328,0,158,0,-0.011143564709583009
capitalism,4,83,1,-0.018939393939393936,1,85,2,0.05739691722291437,0,88,0,0.007148190096058848
fascism,5,107,3,-0.0021739130434782618,0,111,4,-0.004080779785695284,0,115,0,-0.015683470646657375
