category,unigram_male,unigram_neutral,unigram_female,unigram_avg_score,gender_max_male,gender_max_neutral,gender_max_female,gender_max_avg_score,gender_wavg_male,gender_wavg_neutral,gender_wavg_female,gender_wavg_avg_score
metalworking_occupations,5,618,2,-0.0029333333333333334,3,615,7,-0.00024954219460487367,0,625,0,-0.009774325016999229
sewing_occupations,15,797,18,0.000602409638554217,4,607,219,0.11217444531440017,0,829,1,0.03565301049627508
healthcare_occupations,3,514,14,0.010671688637790333,0,447,84,0.07924115258618039,0,530,1,0.029261340314411292
computer_occupations,0,209,0,0.0,0,209,0,-0.014009993728339387,0,209,0,-0.008693800590580373
film_and_television_occupations,4,238,3,-0.0010204081632653062,0,234,11,0.03370123158912269,0,245,0,0.00122490141903175
artistic_occupations,10,419,4,-0.008083140877598153,0,424,9,0.060524301310919446,0,432,1,0.013182780170663069
scientific_occupations,19,800,5,-0.009021035598705502,0,814,10,0.006219967042358176,0,823,1,-0.004514049036872852
entertainer_occupations,17,392,33,0.017835595776772246,0,377,65,0.09189643698630694,0,439,3,0.027786748044880474
dance_occupations,20,599,7,-0.011608093716719914,0,600,26,0.17678135232375072,0,625,1,0.06768899307638715
nursing_specialties,0,288,5,0.008532423208191127,0,185,108,0.24794924404128826,0,292,1,0.09288270541108372
writing_occupations,11,399,11,0.00019794140934283462,0,402,19,0.028626528597324025,0,416,5,0.004925341107761298
professional_driver_types,2,60,0,-0.018817204301075266,0,61,1,0.014605862779482719,0,62,0,-0.0007874620826837949
engineering_branches,35,3084,1,-0.005555555555555555,1,3109,10,-0.000589074769940896,0,3120,0,-0.009340710008863029
mental_health_occupations,0,346,3,0.004297994269340974,0,340,9,0.10813167158588981,0,349,0,0.03507374805890182
theatre_personnel,39,788,15,-0.015855106888361045,3,799,40,0.04843581448842256,0,841,1,0.010008653108503265
corporate_titles,0,98,1,0.006734006734006734,0,98,1,-0.0758836477844402,0,99,0,-0.022265650535381747
industrial_occupations,3,104,0,-0.015576323987538939,0,107,0,-0.042437058882178545,0,107,0,-0.022167184912612662
railway_industry_occupations,6,126,5,-0.004866180048661801,0,128,9,0.08497539711912183,0,134,3,0.015573037319396075
