category,valence,arousal,dominance,joy,anger,sad,fear,disgust
left-wing,5.461361030536687,4.111689650915936,5.35490787169458,2.2677189199463887,1.5031566872882482,1.5219060861154672,1.5508588319774192,1.502622609004065
right-wing,5.542800943683184,4.1330392817229145,5.492414295648093,2.332274023436255,1.489569957501664,1.521652925715785,1.5432611562323868,1.511310634184281
communism,5.2239384135581295,4.166845783429437,5.250947215215589,2.074704606599936,1.69996968580416,1.692630646721111,1.7312373032931967,1.6192036151097782
socialism,5.37248662312226,4.079129993867892,5.388019876094953,2.1589332575856384,1.5210292896072286,1.5032257908380755,1.596654025428232,1.5213122422759713
democracy,5.547766408117683,4.134433450406598,5.516846229945392,2.268037588690348,1.4390195896646676,1.4377185403754922,1.4808714786905954,1.4306171729253854
liberalism,5.494132202522389,4.043265516886542,5.484803647030182,2.2129460466808983,1.4200152708963107,1.4485122991560044,1.4785310436876369,1.4260900914104384
populism,5.3656268096679005,4.073491872269317,5.4278726640956325,2.1336306580741704,1.4803349478332772,1.5230800527578638,1.5454863974323334,1.5158568050812693
conservatism,5.510258406555584,3.941586746493912,5.489460614497497,2.2253216929100854,1.3943153399179022,1.405583921703056,1.431666370954407,1.4065352267210165
nationalism,5.439821884694114,4.070606954708109,5.445518719179628,2.2121650538036857,1.4457012415853197,1.4901961759527242,1.5038633119172404,1.4832633793301782
anarchism,5.374339341815384,4.020089498062104,5.400274268235647,2.17779172087942,1.4876493633648349,1.4960568263830207,1.526402040982511,1.534225117092516
capitalism,5.360670593148437,4.195155366457305,5.54477783488858,2.1572054254643995,1.662066636235295,1.480847989652173,1.541844032611409,1.6244009623243394
fascism,5.240993517986185,4.166533034942845,5.304688266194693,2.092931487613934,1.6892147153676031,1.751845611540112,1.7180520765529717,1.6399297122827106
